,Unnamed: 0,State,Month,Year,countyBirths,stateBirths,County
0,0,1,1,1985,36.0,5027,1001.0
12,12,1,1,1985,127.0,5027,1003.0
24,24,1,1,1985,31.0,5027,1005.0
36,36,1,1,1985,18.0,5027,1007.0
48,48,1,1,1985,40.0,5027,1009.0
60,60,1,1,1985,15.0,5027,1011.0
72,72,1,1,1985,36.0,5027,1013.0
84,84,1,1,1985,135.0,5027,1015.0
96,96,1,1,1985,35.0,5027,1017.0
108,108,1,1,1985,22.0,5027,1019.0
119,120,1,1,1985,35.0,5027,1021.0
131,132,1,1,1985,19.0,5027,1023.0
143,144,1,1,1985,31.0,5027,1025.0
155,156,1,1,1985,22.0,5027,1027.0
166,168,1,1,1985,20.0,5027,1029.0
177,180,1,1,1985,33.0,5027,1031.0
189,192,1,1,1985,44.0,5027,1033.0
201,204,1,1,1985,19.0,5027,1035.0
212,216,1,1,1985,11.0,5027,1037.0
220,228,1,1,1985,37.0,5027,1039.0
232,240,1,1,1985,17.0,5027,1041.0
243,252,1,1,1985,85.0,5027,1043.0
255,264,1,1,1985,68.0,5027,1045.0
267,276,1,1,1985,84.0,5027,1047.0
279,288,1,1,1985,62.0,5027,1049.0
291,300,1,1,1985,68.0,5027,1051.0
303,312,1,1,1985,35.0,5027,1053.0
315,324,1,1,1985,109.0,5027,1055.0
327,336,1,1,1985,24.0,5027,1057.0
339,348,1,1,1985,30.0,5027,1059.0
351,360,1,1,1985,28.0,5027,1061.0
363,372,1,1,1985,17.0,5027,1063.0
373,384,1,1,1985,29.0,5027,1065.0
385,396,1,1,1985,18.0,5027,1067.0
397,408,1,1,1985,110.0,5027,1069.0
409,420,1,1,1985,57.0,5027,1071.0
421,432,1,1,1985,811.0,5027,1073.0
433,444,1,1,1985,13.0,5027,1075.0
445,456,1,1,1985,92.0,5027,1077.0
457,468,1,1,1985,39.0,5027,1079.0
469,480,1,1,1985,89.0,5027,1081.0
481,492,1,1,1985,69.0,5027,1083.0
493,504,1,1,1985,27.0,5027,1085.0
505,516,1,1,1985,34.0,5027,1087.0
517,528,1,1,1985,262.0,5027,1089.0
529,540,1,1,1985,35.0,5027,1091.0
541,552,1,1,1985,35.0,5027,1093.0
553,564,1,1,1985,83.0,5027,1095.0
565,576,1,1,1985,543.0,5027,1097.0
577,588,1,1,1985,30.0,5027,1099.0
589,600,1,1,1985,281.0,5027,1101.0
601,612,1,1,1985,114.0,5027,1103.0
613,624,1,1,1985,26.0,5027,1105.0
625,636,1,1,1985,37.0,5027,1107.0
637,648,1,1,1985,44.0,5027,1109.0
649,660,1,1,1985,27.0,5027,1111.0
661,672,1,1,1985,65.0,5027,1113.0
673,684,1,1,1985,54.0,5027,1115.0
685,696,1,1,1985,106.0,5027,1117.0
697,708,1,1,1985,35.0,5027,1119.0
709,720,1,1,1985,97.0,5027,1121.0
721,732,1,1,1985,54.0,5027,1123.0
733,744,1,1,1985,172.0,5027,1125.0
