,State,Month,Year,stateBirths
0,1,1,1985,5027
1,1,2,1985,4627
2,1,3,1985,4738
3,1,4,1985,4626
4,1,5,1985,4834
5,1,6,1985,4755
6,1,7,1985,5255
7,1,8,1985,5364
8,1,9,1985,5356
9,1,10,1985,5144
10,1,11,1985,4883
11,1,12,1985,5127
12,2,1,1985,1020
13,2,3,1985,1047
14,2,4,1985,1089
15,2,5,1985,1148
16,2,6,1985,1070
17,2,8,1985,1118
18,2,9,1985,1118
19,2,11,1985,989
20,2,2,1985,1021
21,2,7,1985,1129
22,2,10,1985,1061
23,2,12,1985,1034
24,3,1,1985,4842
25,3,2,1985,4435
26,3,3,1985,4820
27,3,4,1985,4456
28,3,5,1985,4809
29,3,6,1985,4695
30,3,7,1985,5242
31,3,8,1985,5469
32,3,9,1985,5217
33,3,10,1985,5203
34,3,11,1985,4998
35,3,12,1985,5162
36,4,1,1985,2929
37,4,2,1985,2741
38,4,3,1985,2927
39,4,4,1985,2736
40,4,5,1985,2843
41,4,6,1985,2870
42,4,7,1985,3037
43,4,8,1985,3261
44,4,9,1985,3069
45,4,10,1985,3048
46,4,11,1985,2869
47,4,12,1985,2891
48,5,1,1985,38069
49,5,2,1985,34169
50,5,3,1985,38103
51,5,4,1985,36800
52,5,5,1985,39101
53,5,6,1985,37592
54,5,7,1985,41561
55,5,8,1985,43298
56,5,9,1985,42257
57,5,10,1985,41764
58,5,11,1985,38546
59,5,12,1985,39691
60,6,1,1985,4219
61,6,2,1985,4056
62,6,3,1985,4688
63,6,4,1985,4647
64,6,5,1985,4795
65,6,6,1985,4655
66,6,7,1985,4878
67,6,8,1985,4841
68,6,9,1985,4823
69,6,10,1985,4672
70,6,11,1985,4364
71,6,12,1985,4485
72,7,1,1985,3450
73,7,2,1985,3290
74,7,3,1985,3680
75,7,4,1985,3637
76,7,5,1985,3872
77,7,6,1985,3630
78,7,7,1985,3948
79,7,8,1985,3845
80,7,9,1985,3790
81,7,10,1985,3783
82,7,11,1985,3511
83,7,12,1985,3552
84,8,1,1985,805
85,8,2,1985,662
86,8,3,1985,754
87,8,4,1985,797
88,8,5,1985,764
89,8,6,1985,822
90,8,7,1985,882
91,8,8,1985,842
92,8,9,1985,829
93,8,10,1985,896
94,8,11,1985,770
95,8,12,1985,795
96,10,1,1985,13422
97,10,2,1985,12290
98,10,3,1985,13331
99,10,4,1985,12554
100,10,5,1985,13220
101,10,6,1985,12666
102,10,7,1985,14098
103,10,8,1985,14716
104,10,9,1985,14870
105,10,10,1985,14638
106,10,11,1985,13672
107,10,12,1985,14339
108,11,1,1985,7963
109,11,3,1985,7778
110,11,6,1985,7763
111,11,9,1985,8816
112,11,11,1985,7895
113,11,2,1985,7251
114,11,4,1985,7438
115,11,5,1985,7672
116,11,7,1985,8268
117,11,8,1985,8786
118,11,10,1985,8395
119,11,12,1985,8315
120,12,1,1985,1456
121,12,2,1985,1360
122,12,3,1985,1521
123,12,4,1985,1465
124,12,5,1985,1524
125,12,6,1985,1465
126,12,7,1985,1601
127,12,8,1985,1566
128,12,9,1985,1671
129,12,10,1985,1585
130,12,11,1985,1449
131,12,12,1985,1644
132,13,1,1985,1409
133,13,2,1985,1358
134,13,3,1985,1446
135,13,4,1985,1524
136,13,5,1985,1595
137,13,6,1985,1505
138,13,7,1985,1659
139,13,8,1985,1525
140,13,9,1985,1496
141,13,10,1985,1410
142,13,11,1985,1319
143,13,12,1985,1321
144,14,1,1985,14476
145,14,2,1985,13731
146,14,3,1985,15134
147,14,4,1985,14745
148,14,5,1985,15358
149,14,6,1985,15089
150,14,7,1985,16012
151,14,8,1985,16231
152,14,9,1985,15472
153,14,10,1985,15179
154,14,11,1985,14544
155,14,12,1985,14766
156,15,1,1985,6390
157,15,2,1985,6114
158,15,3,1985,6876
159,15,4,1985,6457
160,15,5,1985,6723
161,15,6,1985,6847
162,15,7,1985,7218
163,15,8,1985,7238
164,15,9,1985,7143
165,15,10,1985,6808
166,15,11,1985,6467
167,15,12,1985,6665
168,16,1,1985,3415
169,16,2,1985,3166
170,16,3,1985,3592
171,16,4,1985,3490
172,16,6,1985,3356
173,16,9,1985,3508
174,16,10,1985,3459
175,16,11,1985,3175
176,16,5,1985,3581
177,16,7,1985,3595
178,16,8,1985,3682
179,16,12,1985,3202
180,17,1,1985,3109
181,17,2,1985,3011
182,17,3,1985,3354
183,17,4,1985,3297
184,17,5,1985,3469
185,17,6,1985,3159
186,17,7,1985,3597
187,17,8,1985,3509
188,17,9,1985,3406
189,17,10,1985,3356
190,17,11,1985,3141
191,17,12,1985,3271
192,18,1,1985,4434
193,18,2,1985,3962
194,18,3,1985,4232
195,18,4,1985,4216
196,18,5,1985,4418
197,18,6,1985,4425
198,18,7,1985,4562
199,18,8,1985,4870
200,18,9,1985,4726
201,18,10,1985,4467
202,18,11,1985,4164
203,18,12,1985,4409
204,19,1,1985,6953
205,19,2,1985,6251
206,19,3,1985,6550
207,19,4,1985,6212
208,19,5,1985,6606
209,19,6,1985,6410
210,19,7,1985,6989
211,19,8,1985,7564
